iter	Passed	Remaining
1324	11813	1560
1325	11819	1551
1326	11826	1541
1327	11833	1532
1328	11842	1523
1329	11851	1514
1330	11861	1506
1331	11871	1497
1332	11881	1488
1333	11888	1479
1334	11900	1470
1335	11907	1461
1336	11918	1453
1337	11927	1444
1338	11937	1435
1339	11946	1426
1340	11954	1417
1341	11963	1408
1342	11973	1399
1343	11981	1390
1344	11990	1381
1345	12001	1373
1346	12011	1364
1347	12022	1355
1348	12033	1347
1349	12049	1338
1350	12064	1330
1351	12075	1321
1352	12085	1313
1353	12094	1304
1354	12104	1295
1355	12115	1286
1356	12123	1277
1357	12132	1268
1358	12142	1259
1359	12151	1250
1360	12158	1241
1361	12170	1233
1362	12181	1224
1363	12192	1215
1364	12202	1206
1365	12212	1198
1366	12221	1189
1367	12230	1180
1368	12237	1171
1369	12246	1162
1370	12252	1152
1371	12261	1143
1372	12270	1134
1373	12275	1125
1374	12281	1116
1375	12289	1107
1376	12297	1098
1377	12304	1089
1378	12313	1080
1379	12318	1071
1380	12327	1062
1381	12336	1053
1382	12345	1044
1383	12355	1035
1384	12361	1026
1385	12371	1017
1386	12381	1008
1387	12391	999
1388	12399	990
1389	12409	982
1390	12416	972
1391	12425	964
1392	12433	955
1393	12441	946
1394	12449	937
1395	12458	928
1396	12464	919
1397	12473	910
1398	12483	901
1399	12491	892
1400	12500	883
1401	12507	874
1402	12515	865
1403	12522	856
1404	12529	847
1405	12539	838
1406	12548	829
1407	12557	820
1408	12566	811
1409	12575	802
1410	12585	793
1411	12593	784
1412	12603	776
1413	12611	767
1414	12621	758
1415	12629	749
1416	12636	740
1417	12646	731
1418	12654	722
1419	12662	713
1420	12670	704
1421	12680	695
1422	12690	686
1423	12700	677
1424	12708	668
1425	12718	660
1426	12726	651
1427	12736	642
1428	12744	633
1429	12754	624
1430	12762	615
1431	12773	606
1432	12782	597
1433	12792	588
1434	12801	579
1435	12810	570
1436	12821	562
1437	12832	553
1438	12844	544
1439	12865	536
1440	12892	527
1441	12905	519
1442	12925	510
1443	12940	501
1444	12952	493
1445	12964	484
1446	12977	475
1447	12989	466
1448	12999	457
1449	13007	448
1450	13016	439
1451	13024	430
1452	13034	421
1453	13043	412
1454	13053	403
1455	13064	394
1456	13073	385
1457	13083	376
1458	13093	367
1459	13103	359
1460	13113	350
1461	13123	341
1462	13132	332
1463	13143	323
1464	13151	314
1465	13159	305
1466	13166	296
1467	13174	287
1468	13184	278
1469	13193	269
1470	13202	260
1471	13212	251
1472	13218	242
1473	13228	233
1474	13237	224
