iter	Passed	Remaining
1080	8270	10855
1081	8276	10847
1082	8282	10837
1083	8289	10828
1084	8296	10819
1085	8303	10811
1086	8309	10801
1087	8316	10792
1088	8323	10784
1089	8330	10776
1090	8337	10767
1091	8344	10758
1092	8353	10752
1093	8360	10744
1094	8368	10737
1095	8375	10729
1096	8383	10721
1097	8390	10714
1098	8397	10704
1099	8403	10695
1100	8410	10687
1101	8418	10680
1102	8427	10673
1103	8434	10665
1104	8441	10656
1105	8448	10648
1106	8455	10640
1107	8461	10630
1108	8469	10622
1109	8477	10615
1110	8484	10607
1111	8491	10599
1112	8499	10591
1113	8506	10583
1114	8511	10573
1115	8519	10564
1116	8526	10556
1117	8534	10549
1118	8540	10539
1119	8547	10532
1120	8556	10525
1121	8564	10518
1122	8571	10510
1123	8579	10502
1124	8587	10495
1125	8595	10488
1126	8602	10480
1127	8610	10472
1128	8617	10464
1129	8625	10456
1130	8633	10449
1131	8639	10440
1132	8646	10432
1133	8652	10422
1134	8659	10413
1135	8665	10404
1136	8672	10396
1137	8680	10388
1138	8687	10380
1139	8693	10371
1140	8700	10362
1141	8707	10354
1142	8714	10345
1143	8721	10338
1144	8729	10331
1145	8737	10322
1146	8744	10315
1147	8751	10306
1148	8759	10299
1149	8764	10289
1150	8771	10280
1151	8779	10273
1152	8788	10266
1153	8794	10258
1154	8801	10249
1155	8808	10241
1156	8816	10234
1157	8823	10226
1158	8831	10218
1159	8837	10209
1160	8845	10202
1161	8853	10194
1162	8861	10186
1163	8868	10179
1164	8874	10169
1165	8881	10161
1166	8888	10153
1167	8896	10145
1168	8904	10138
1169	8910	10128
1170	8916	10119
1171	8924	10112
1172	8932	10104
1173	8939	10097
1174	8945	10087
1175	8953	10080
1176	8961	10073
1177	8968	10064
1178	8974	10055
1179	8981	10047
1180	8989	10039
1181	8996	10031
1182	9004	10024
1183	9012	10016
1184	9019	10008
1185	9027	10001
1186	9033	9992
1187	9039	9983
1188	9047	9975
1189	9055	9968
1190	9062	9959
1191	9068	9951
1192	9076	9943
1193	9084	9936
1194	9092	9929
1195	9099	9921
1196	9106	9912
1197	9113	9904
1198	9120	9896
1199	9126	9887
1200	9133	9879
1201	9142	9872
1202	9148	9863
1203	9156	9856
1204	9164	9849
1205	9170	9840
1206	9177	9831
1207	9184	9823
1208	9191	9815
1209	9198	9806
1210	9205	9798
1211	9212	9789
1212	9219	9782
1213	9227	9774
1214	9235	9767
1215	9243	9760
1216	9252	9754
1217	9258	9745
1218	9266	9737
1219	9274	9730
1220	9282	9723
1221	9289	9715
1222	9297	9707
1223	9304	9700
1224	9311	9691
1225	9319	9684
1226	9326	9676
1227	9335	9669
1228	9343	9662
1229	9351	9655
1230	9358	9647
1231	9365	9639
1232	9372	9631
1233	9380	9624
1234	9387	9615
1235	9394	9607
1236	9402	9600
1237	9410	9592
